date,pm10,co,no2,pm25,avgT,humid,pressure-monthly,windDir,windSpd
1/1/2018,49,0.984565218,29.33043479,21,27.1,70,1009.4,100,9
1/2/2018,57,1.016304348,35.12826087,26,27.5,67,1009.4,120,4
1/3/2018,74,1.292083334,43.54166667,38,28.2,66,1009.4,60,4
1/4/2018,85,1.30826087,42.45869565,39,29.3,64,1009.4,330,6
1/5/2018,92,1.175,48.79782609,51,30.4,63,1009.4,,
1/6/2018,86,0.920434783,37.52391305,42,29.8,70,1009.4,120,2
1/7/2018,40,0.561956522,15.68913044,26,29.2,78,1009.4,140,2
1/8/2018,34,0.604565218,18.36086957,10,29.8,77,1009.4,140,3
1/9/2018,48,0.758695652,29.01304348,22,30.7,75,1009.4,140,6
1/10/2018,49,1.265652174,27.02608696,10,26.6,88,1009.4,120,4
1/11/2018,80,1.464565218,40.57826087,25,25.6,74,1009.4,120,5
1/12/2018,79,1.176739131,41.64565218,34,25,65,1009.4,120,8
1/13/2018,83,0.976086957,42.28478261,36,24,65,1009.4,330,6
1/14/2018,80,1.032608696,41.91304348,38,25.2,63,1009.4,320,5
1/15/2018,97,1.347826087,49.85,52,25.9,64,1009.4,300,6
1/16/2018,114,1.540652174,58.49782609,55,27.6,68,1009.4,330,7
1/17/2018,156,2.021521739,67.55217392,69,28.5,69,1009.4,300,5
1/18/2018,131,1.556086957,54.02173913,54,29.2,63,1009.4,310,6
1/19/2018,74,1.77826087,57.87173913,57,29.3,65,1009.4,100,4
1/20/2018,73,1.524782609,49.35434783,45,29,64,1009.4,80,6
1/21/2018,86,1.48326087,54.07391305,62,29.2,67,1009.4,70,4
1/22/2018,138,1.597826087,53.27826087,97,29.6,69,1009.4,330,4
1/23/2018,109,1.37826087,45.43043479,66,29.7,74,1009.4,120,6
1/24/2018,106,1.326304348,39.37608696,86,28.9,79,1009.4,120,4
1/25/2018,54,1.028913044,23.86304348,25,29.2,81,1009.4,270,4
1/26/2018,35,0.815869565,18.51086957,17,29.8,80,1009.4,120,5
1/27/2018,30,0.773478261,16.30652174,17,29.7,78,1009.4,150,6
1/28/2018,31,0.7275,14.02916667,13,29.4,78,1009.4,130,7
1/29/2018,35,0.827608696,16.02173913,19,30,80,1009.4,150,4
1/30/2018,33,0.665217391,21.41304348,16,30.2,81,1009.4,120,3
1/31/2018,38,0.811594203,27.56753623,17,29.4,88,1009.4,110,6
2/1/2018,72,1.403913043,31.32666667,,28.3,77,1011.42,90,6
2/2/2018,91,1.404347826,38.79797101,,26.5,72,1011.42,100,7
2/3/2018,91,1.428115942,39.22115942,,25.4,66,1011.42,70,10
2/4/2018,118,1.177971014,36.7226087,,,59,1011.42,90,10
2/5/2018,108,1.25826087,37.88985507,,,60,1011.42,90,10
2/6/2018,95,1.183188406,39.56086957,,,62,1011.42,90,7
2/7/2018,128,1.30057971,50.21956522,,,61,1011.42,110,6
2/8/2018,127,1.598478261,28.28869565,,,73,1011.42,120,5
2/9/2018,76,1.089710145,26.89985507,,,77,1011.42,120,3
2/10/2018,84,1.062173913,31.30347826,,,73,1011.42,70,7
2/11/2018,78,1.138115942,35.02217391,,,71,1011.42,60,10
2/12/2018,110,1.423478261,39.09869565,,,64,1011.42,80,12
2/13/2018,95,1.512753623,50.35333333,,,68,1011.42,120,4
2/14/2018,134,1.748115942,71.17753623,,,66,1011.42,120,6
2/15/2018,113,1.332463768,41.22724638,,,70,1011.42,120,4
2/16/2018,92,1.17173913,30.80231884,,,78,1011.42,120,6
2/17/2018,85,1.028985507,22.51782609,,,78,1011.42,80,8
2/18/2018,72,0.986956522,18.0357971,,,73,1011.42,70,12
2/19/2018,69,1.02942029,20.80594203,,,78,1011.42,110,8
2/20/2018,37,0.827971014,17.63246377,,,78,1011.42,110,6
2/21/2018,45,0.824782609,18.72463768,,,78,1011.42,270,4
2/22/2018,53,0.831388889,20.37833333,,,78,1011.42,150,4
2/23/2018,72,1.221304348,34.14956522,,,83,1011.42,90,6
2/24/2018,84,1.285217391,40.23362319,,,81,1011.42,70,8
2/25/2018,81,1.298695652,44.10956522,,,75,1011.42,80,5
2/26/2018,79,1.232318841,35.44521739,,,74,1011.42,120,5
2/27/2018,69,1.242753623,33.56376812,,,84,1011.42,310,7
2/28/2018,83,1.298115942,37.42217391,,,77,1011.42,290,5
3/1/2018,58,0.841449275,17.44913043,,,80,1009.24,120,6
3/2/2018,55,0.869710145,18.11550725,,,75,1009.24,70,7
3/3/2018,42,0.770724638,15.68086957,,,75,1009.24,100,6
3/4/2018,37,0.75173913,15.04449275,,,74,1009.24,110,6
3/5/2018,38,0.846521739,17.92463768,,,77,1009.24,300,6
3/6/2018,42,0.860144928,20.67637681,,,78,1009.24,120,8
3/7/2018,43,0.888695652,20.4484058,,,77,1009.24,150,6
3/8/2018,61,1.106944444,27.66666667,,,77,1009.24,240,6
3/9/2018,70,1.316231884,29.67289855,,,88,1009.24,120,8
3/10/2018,107,1.569855072,48.65652174,,,72,1009.24,300,6
3/11/2018,120,1.592028986,50.53144928,,,66,1009.24,100,7
3/12/2018,147,1.832173913,47.63913043,,,75,1009.24,130,5
3/13/2018,81,1.182898551,24.32347826,,,74,1009.24,160,8
3/14/2018,65,0.968115942,17.45043478,,,75,1009.24,180,10
3/15/2018,58,0.939565217,17.58985507,,,77,1009.24,180,8
3/16/2018,55,0.963188406,18.26782609,,,78,1009.24,130,7
3/17/2018,43,0.917246377,16.96782609,,,78,1009.24,130,6
3/18/2018,34,0.815434783,13.23014493,,30.5,74,1009.24,170,10
3/19/2018,38,0.927916667,15.10722222,,30.9,74,1009.24,200,10
3/20/2018,49,0.969347826,19.81130435,,31.9,75,1009.24,130,6
3/21/2018,58,1.014782609,25.49623188,,31,76,1009.24,340,7
3/22/2018,70,1.071304348,33.14797101,,30,78,1009.24,120,7
3/23/2018,88,1.107391304,32.42173913,,30,70,1009.24,110,12
3/24/2018,95,1.099166667,32.875,,30.4,69,1009.24,150,10
3/25/2018,91,0.365,25.535,,30.3,74,1009.24,180,8
3/26/2018,73,0.472051282,22.74769231,,31.4,72,1009.24,120,8
3/27/2018,84,0.553043478,31.73405797,,29.2,81,1009.24,90,6
3/28/2018,67,0.381594203,20.11971014,,30.9,76,1009.24,270,8
3/29/2018,59,0.35942029,17.77347826,,30.5,81,1009.24,270,8
3/30/2018,69,0.429710145,19.76362319,28,31,79,1009.24,130,7
3/31/2018,73,0.583043478,26.57681159,30,30.5,81,1009.24,140,5
4/1/2018,87,0.697246377,32.14695652,33,29.2,85,1008.67,100,6
4/2/2018,90,0.922318841,33.78768116,36,29.9,54,1008.67,120,8
4/3/2018,91,0.883913043,38.12855072,33,29.7,82,1008.67,300,7
4/4/2018,61,0.480144928,20.2126087,26,31.2,84,1008.67,90,8
4/5/2018,71,0.55942029,24.26275362,26,30.7,78,1008.67,120,7
4/6/2018,85,0.676521739,29.35898551,36,30.8,76,1008.67,120,6
4/7/2018,48,0.569565217,21.82376812,12,25.7,82,1008.67,120,10
4/8/2018,64,0.605072464,37.72304348,20,26.9,73,1008.67,110,7
4/9/2018,104,0.958405797,50.17956522,38,29,61,1008.67,120,8
4/10/2018,112,1.007246377,50.11246377,51,30.8,62,1008.67,130,7
4/11/2018,61,0.501594203,20.73246377,25,31.2,70,1008.67,60,6
4/12/2018,50,0.37884058,12.6326087,16,32,72,1008.67,270,6
4/13/2018,42,0.324722222,10.47555556,16,31.6,75,1008.67,270,7
4/14/2018,41,0.315942029,9.895362319,16,32,77,1008.67,120,6
4/15/2018,39,0.370869565,11.40695652,15,32,75,1008.67,130,8
4/16/2018,49,0.397681159,17.70797101,22,32.3,75,1008.67,240,7
4/17/2018,47,0.598405797,23.65724638,14,29.3,90,1008.67,90,9
4/18/2018,65,0.682608696,30.42536232,21,28.3,78,1008.67,160,10
4/19/2018,45,0.442898551,20.98521739,16,30,75,1008.67,170,10
4/20/2018,46,0.434347826,16.08347826,14,30.7,76,1008.67,200,8
4/21/2018,46,0.393768116,15.08449275,17,31.7,75,1008.67,200,12
