date,pm25, pm10, o3, no2, co,avgT,humid,pressure-monthly,windDir,windSpd
1/1/2018,21,32,37.91,13.26,0.64,27.10,70.00,1009.40,100.00,9.00
1/2/2018,26,37,38.22,18.96,0.68,27.50,67.00,1009.40,120.00,4.00
1/3/2018,38,51,29.50,29.08,0.85,28.20,66.00,1009.40,60.00,4.00
1/4/2018,39,55,45.09,22.22,0.86,29.30,64.00,1009.40,330.00,6.00
1/5/2018,51,67,49.26,36.70,1.00,30.40,63.00,1009.40,                 ,
1/6/2018,42,54,45.09,34.35,0.96,29.80,70.00,1009.40,120.00,2.00
1/7/2018,26,29,23.26,13.48,0.57,29.20,78.00,1009.40,140.00,2.00
1/8/2018,10,17,13.74,16.52,0.64,29.80,77.00,1009.40,140.00,3.00
1/9/2018,22,33,16.30,31.83,0.92,30.70,75.00,1009.40,140.00,6.00
1/10/2018,10,18,14.96,19.65,0.89,26.60,88.00,1009.40,120.00,4.00
1/11/2018,25,50,16.09,32.96,1.04,25.60,74.00,1009.40,120.00,5.00
1/12/2018,34,49,26.43,27.39,0.84,25.00,65.00,1009.40,120.00,8.00
1/13/2018,36,60,34.43,26.87,0.75,24.00,65.00,1009.40,330.00,6.00
1/14/2018,38,56,33.09,25.83,0.87,25.20,63.00,1009.40,320.00,5.00
1/15/2018,52,69,28.26,34.00,1.00,25.90,64.00,1009.40,300.00,6.00
1/16/2018,55,74,27.96,44.70,1.29,27.60,68.00,1009.40,330.00,7.00
1/17/2018,69,93,36.35,44.30,1.51,28.50,69.00,1009.40,300.00,5.00
1/18/2018,54,79,29.17,36.04,1.15,29.20,63.00,1009.40,310.00,6.00
1/19/2018,57,74,22.30,38.04,1.16,29.30,65.00,1009.40,100.00,4.00
1/20/2018,45,73,18.09,34.61,1.07,29.00,64.00,1009.40,80.00,6.00
1/21/2018,62,86,23.39,42.35,1.26,29.20,67.00,1009.40,70.00,4.00
1/22/2018,97,121,24.22,45.96,1.50,29.60,69.00,1009.40,330.00,4.00
1/23/2018,66,77,26.57,38.26,1.36,29.70,74.00,1009.40,120.00,6.00
1/24/2018,86,77,11.87,38.65,1.38,28.90,79.00,1009.40,120.00,4.00
1/25/2018,25,40,10.86,21.83,1.05,29.20,81.00,1009.40,270.00,4.00
1/26/2018,17,28,13.04,15.52,0.92,29.80,80.00,1009.40,120.00,5.00
1/27/2018,17,22,11.87,12.91,0.89,29.70,78.00,1009.40,150.00,6.00
1/28/2018,13,23,12.00,11.96,0.88,29.40,78.00,1009.40,130.00,7.00
1/29/2018,19,28,11.65,14.04,0.97,30.00,80.00,1009.40,150.00,4.00
1/30/2018,16,25,15.17,12.74,0.90,30.20,81.00,1009.40,120.00,3.00
1/31/2018,17,29,11.61,16.78,1.03,29.40,88.00,1009.40,110.00,6.00
2/1/2018,,49,31.96,17.00,1.22,28.30,77.00,1011.42,90.00,6.00
2/2/2018,,60,34.13,22.17,1.41,26.50,72.00,1011.42,100.00,7.00
2/3/2018,,66,31.05,22.04,1.30,25.40,66.00,1011.42,70.00,10.00
2/4/2018,,108,34.57,27.35,1.37,,59.00,1011.42,90.00,10.00
2/5/2018,,78,39.78,24.87,1.33,,60.00,1011.42,90.00,10.00
2/6/2018,,65,43.04,23.78,1.27,,62.00,1011.42,90.00,7.00
2/7/2018,,91,49.96,36.74,1.52,,61.00,1011.42,110.00,6.00
2/8/2018,,86,48.96,27.83,1.59,,73.00,1011.42,120.00,5.00
2/9/2018,,58,42.35,19.87,1.34,,77.00,1011.42,120.00,3.00
2/10/2018,,53,40.22,19.13,1.36,,73.00,1011.42,70.00,7.00
2/11/2018,,53,30.04,23.96,1.50,,71.00,1011.42,60.00,10.00
2/12/2018,,69,29.61,22.83,1.53,,64.00,1011.42,80.00,12.00
2/13/2018,,64,38.17,24.00,1.48,,68.00,1011.42,120.00,4.00
2/14/2018,,128,40.22,55.78,2.00,,66.00,1011.42,120.00,6.00
2/15/2018,,89,59.57,23.52,1.62,,70.00,1011.42,120.00,4.00
2/16/2018,,66,40.39,22.09,1.57,,78.00,1011.42,120.00,6.00
2/17/2018,,59,29.04,18.04,1.49,,78.00,1011.42,80.00,8.00
2/18/2018,,50,34.39,9.22,1.46,,73.00,1011.42,70.00,12.00
2/19/2018,,48,22.74,13.35,1.48,,78.00,1011.42,110.00,8.00
2/20/2018,,19,16.22,9.22,1.27,,78.00,1011.42,110.00,6.00
2/21/2018,,29,17.48,11.17,1.30,,78.00,1011.42,270.00,4.00
2/22/2018,,33,24.67,12.13,1.25,,78.00,1011.42,150.00,4.00
2/23/2018,,40,23.13,21.61,1.37,,83.00,1011.42,90.00,6.00
2/24/2018,,44,26.22,26.26,1.50,,81.00,1011.42,70.00,8.00
2/25/2018,,53,17.64,35.61,1.73,,75.00,1011.42,80.00,5.00
2/26/2018,,51,41.83,18.70,1.49,,74.00,1011.42,120.00,5.00
2/27/2018,,39,25.26,21.39,1.48,,84.00,1011.42,310.00,7.00
2/28/2018,,51,33.35,26.96,1.60,,77.00,1011.42,290.00,5.00
3/1/2018,,36,30.65,10.22,1.30,,80.00,1009.24,120.00,6.00
3/2/2018,,35,25.22,10.96,1.34,,75.00,1009.24,70.00,7.00
3/3/2018,,27,20.22,9.78,1.25,,75.00,1009.24,100.00,6.00
3/4/2018,,24,19.57,10.04,1.27,,74.00,1009.24,110.00,6.00
3/5/2018,,22,19.65,10.17,1.27,,77.00,1009.24,300.00,6.00
3/6/2018,,24,24.09,12.74,1.33,,78.00,1009.24,120.00,8.00
3/7/2018,,27,18.26,13.57,1.33,,77.00,1009.24,150.00,6.00
3/8/2018,,38,14.78,19.25,1.47,,77.00,1009.24,240.00,6.00
3/9/2018,,37,11.30,20.61,1.61,,88.00,1009.24,120.00,8.00
3/10/2018,,61,22.52,27.87,1.67,,72.00,1009.24,300.00,6.00
3/11/2018,,72,41.48,28.30,1.83,,66.00,1009.24,100.00,7.00
3/12/2018,,95,45.65,34.22,2.16,,75.00,1009.24,130.00,5.00
3/13/2018,,52,46.52,12.13,1.71,,74.00,1009.24,160.00,8.00
3/14/2018,,41,35.04,8.39,1.50,,75.00,1009.24,180.00,10.00
3/15/2018,,35,30.65,9.87,1.51,,77.00,1009.24,180.00,8.00
3/16/2018,,34,25.48,11.04,1.47,,78.00,1009.24,130.00,7.00
3/17/2018,,23,22.78,10.04,1.42,,78.00,1009.24,130.00,6.00
3/18/2018,,16,25.83,6.13,1.36,30.50,74.00,1009.24,170.00,10.00
3/19/2018,,21,22.58,7.29,1.45,30.90,74.00,1009.24,200.00,10.00
3/20/2018,,32,32.57,13.17,1.51,31.90,75.00,1009.24,130.00,6.00
3/21/2018,,33,24.61,16.61,1.57,31.00,76.00,1009.24,340.00,7.00
3/22/2018,,41,32.35,19.17,1.67,30.00,78.00,1009.24,120.00,7.00
3/23/2018,,54,45.61,15.57,1.75,30.00,70.00,1009.24,110.00,12.00
3/24/2018,,50,33.13,14.88,1.79,30.40,69.00,1009.24,150.00,10.00
3/25/2018,,,,,,30.30,74.00,1009.24,180.00,8.00
3/26/2018,,52,39.92,15.92,0.85,31.40,72.00,1009.24,120.00,8.00
3/27/2018,,54,41.65,20.65,0.64,29.20,81.00,1009.24,90.00,6.00
3/28/2018,,42,34.52,10.74,0.43,30.90,76.00,1009.24,270.00,8.00
3/29/2018,,37,32.91,10.13,0.48,30.50,81.00,1009.24,270.00,8.00
3/30/2018,28,46,28.30,12.26,0.54,31.00,79.00,1009.24,130.00,7.00
3/31/2018,30,43,21.00,18.13,0.64,30.50,81.00,1009.24,140.00,5.00
4/1/2018,33,51,18.70,25.26,0.82,29.20,85.00,1008.67,100.00,6.00
4/2/2018,36,52,30.52,21.91,0.89,29.90,54.00,1008.67,120.00,8.00
4/3/2018,33,49,51.78,20.70,0.82,29.70,82.00,1008.67,300.00,7.00
4/4/2018,26,37,29.65,10.35,0.63,31.20,84.00,1008.67,90.00,8.00
4/5/2018,26,44,28.65,14.48,0.68,30.70,78.00,1008.67,120.00,7.00
4/6/2018,36,50,43.22,18.09,0.77,30.80,76.00,1008.67,120.00,6.00
4/7/2018,12,22,27.35,12.39,0.61,25.70,82.00,1008.67,120.00,10.00
4/8/2018,20,38,36.52,18.74,0.57,26.90,73.00,1008.67,110.00,7.00
4/9/2018,38,64,34.87,29.61,0.77,29.00,61.00,1008.67,120.00,8.00
4/10/2018,51,72,55.00,36.22,1.02,30.80,62.00,1008.67,130.00,7.00
4/11/2018,25,39,46.09,9.22,0.63,31.20,70.00,1008.67,60.00,6.00
4/12/2018,16,29,24.96,6.35,0.56,32.00,72.00,1008.67,270.00,6.00
4/13/2018,16,25,25.83,5.17,0.55,31.60,75.00,1008.67,270.00,7.00
4/14/2018,16,25,26.91,3.83,0.55,32.00,77.00,1008.67,120.00,6.00
4/15/2018,15,24,23.70,6.26,0.58,32.00,75.00,1008.67,130.00,8.00
4/16/2018,22,29,38.09,8.17,0.61,32.30,75.00,1008.67,240.00,7.00
4/17/2018,14,22,19.95,14.52,0.77,29.30,90.00,1008.67,90.00,9.00
4/18/2018,21,34,48.39,19.83,0.95,28.30,78.00,1008.67,160.00,10.00
4/19/2018,16,25,41.87,10.70,0.71,30.00,75.00,1008.67,170.00,10.00
4/20/2018,14,27,22.87,8.13,0.71,30.70,76.00,1008.67,200.00,8.00
4/21/2018,17,26,26.96,8.04,0.69,31.70,75.00,1008.67,200.00,12.00
4/22/2018,13,22,25.96,4.70,0.66,31.90,73.00,1008.67,170.00,8.00
4/23/2018,20,37,39.30,11.17,0.75,32.60,74.00,1008.67,130.00,8.00
4/24/2018,18,29,24.22,9.17,0.76,32.20,74.00,1008.67,150.00,7.00
4/25/2018,22,40,23.83,13.78,0.80,31.70,71.00,1008.67,190.00,10.00
4/26/2018,18,31,21.57,14.04,0.83,31.50,78.00,1008.67,200.00,12.00
4/27/2018,17,33,30.26,20.04,1.16,30.00,81.00,1008.67,210.00,12.00
4/28/2018,13,21,5.83,23.39,2.09,25.70,97.00,1008.67,170.00,8.00
4/29/2018,17,26,15.00,17.35,1.96,28.50,86.00,1008.67,130.00,8.00
4/30/2018,13,23,4.87,16.78,2.05,27.40,88.00,1008.67,200.00,10.00
5/1/2018,9,14,12.26,14.22,1.97,28.40,75.00,1007.93,180.00,10.00
5/2/2018,8,16,11.39,14.83,2.00,28.40,80.00,1007.93,120.00,6.00
5/3/2018,14,24,11.04,19.91,2.10,29.20,80.00,1007.93,100.00,7.00
5/4/2018,12,27,18.65,23.09,2.12,31.00,77.00,1007.93,120.00,6.00
5/5/2018,10,21,18.91,13.87,1.98,30.40,75.00,1007.93,210.00,6.00
5/6/2018,10,16,15.39,10.17,1.98,30.80,77.00,1007.93,300.00,7.00
5/7/2018,15,22,24.57,15.30,2.07,30.50,82.00,1007.93,270.00,8.00
5/8/2018,18,27,25.38,14.33,2.09,31.90,80.00,1007.93,240.00,6.00
5/9/2018,15,27,13.26,18.04,2.10,32.30,79.00,1007.93,130.00,5.00
5/10/2018,14,24,21.96,14.22,2.08,32.20,75.00,1007.93,120.00,7.00
5/11/2018,14,24,11.39,25.30,1.35,30.70,79.00,1007.93,290.00,9.00
5/12/2018,20,38,21.83,29.22,0.79,30.20,80.00,1007.93,120.00,5.00
5/13/2018,20,32,17.91,19.33,0.72,31.40,73.00,1007.93,130.00,6.00
5/14/2018,16,24,23.83,20.43,0.70,31.10,78.00,1007.93,270.00,8.00
5/15/2018,22,34,17.26,29.61,0.80,30.30,82.00,1007.93,120.00,6.00
5/16/2018,14,21,18.00,11.04,0.59,32.40,72.00,1007.93,150.00,8.00
5/17/2018,10,19,19.43,10.48,0.57,32.90,70.00,1007.93,130.00,7.00
5/18/2018,12,23,12.96,18.26,0.73,31.80,77.00,1007.93,110.00,5.00
5/19/2018,15,26,17.52,21.13,0.77,30.90,74.00,1007.93,140.00,6.00
5/20/2018,22,35,25.65,23.04,0.84,32.50,74.00,1007.93,120.00,7.00
5/21/2018,20,34,10.83,27.30,0.91,31.70,79.00,1007.93,130.00,6.00
5/22/2018,19,33,11.43,28.14,0.93,29.10,87.00,1007.93,120.00,6.00
5/23/2018,17,29,24.57,28.83,0.85,30.70,80.00,1007.93,330.00,8.00
5/24/2018,8,18,15.43,19.22,0.69,29.20,81.00,1007.93,120.00,8.00
5/25/2018,12,19,15.04,21.43,0.68,30.20,80.00,1007.93,120.00,6.00
5/26/2018,13,24,10.65,21.13,0.84,31.10,81.00,1007.93,130.00,6.00
5/27/2018,13,25,18.35,15.04,0.73,31.50,78.00,1007.93,90.00,7.00
5/28/2018,18,32,24.04,22.35,0.84,31.70,82.00,1007.93,120.00,6.00
5/29/2018,9,18,16.22,11.35,0.63,30.40,80.00,1007.93,150.00,7.00
5/30/2018,11,18,10.83,15.87,0.67,30.80,78.00,1007.93,140.00,8.00
5/31/2018,17,28,13.96,25.91,0.85,30.70,81.00,1007.93,330.00,6.00
