date,pm10,co,no,no2,nox,pm25,avgT,humid,pressure-monthly,windDir,windSpd
1/1/2018,,,,,,,27.1,70,1009.4,100,9
1/2/2018,,,,,,,27.5,67,1009.4,120,4
1/3/2018,,,,,,,28.2,66,1009.4,60,4
1/4/2018,,,,,,,29.3,64,1009.4,330,6
1/5/2018,,,,,,,30.4,63,1009.4,                 ,
1/6/2018,,,,,,,29.8,70,1009.4,120,2
1/7/2018,,,,,,,29.2,78,1009.4,140,2
1/8/2018,,,,,,,29.8,77,1009.4,140,3
1/9/2018,,,,,,,30.7,75,1009.4,140,6
1/10/2018,,,,,,,26.6,88,1009.4,120,4
1/11/2018,,,,,,,25.6,74,1009.4,120,5
1/12/2018,,,,,,,25,65,1009.4,120,8
1/13/2018,,,,,,,24,65,1009.4,330,6
1/14/2018,,,,,,,25.2,63,1009.4,320,5
1/15/2018,,,,,,,25.9,64,1009.4,300,6
1/16/2018,,,,,,,27.6,68,1009.4,330,7
1/17/2018,,,,,,,28.5,69,1009.4,300,5
1/18/2018,,,,,,,29.2,63,1009.4,310,6
1/19/2018,,,,,,,29.3,65,1009.4,100,4
1/20/2018,,,,,,,29,64,1009.4,80,6
1/21/2018,,,,,,,29.2,67,1009.4,70,4
1/22/2018,,,,,,,29.6,69,1009.4,330,4
1/23/2018,,,,,,,29.7,74,1009.4,120,6
1/24/2018,,,,,,,28.9,79,1009.4,120,4
1/25/2018,,,,,,,29.2,81,1009.4,270,4
1/26/2018,,,,,,,29.8,80,1009.4,120,5
1/27/2018,,,,,,,29.7,78,1009.4,150,6
1/28/2018,,,,,,,29.4,78,1009.4,130,7
1/29/2018,,,,,,,30,80,1009.4,150,4
1/30/2018,,0.43,55.54,34,89.54,,30.2,81,1009.4,120,3
1/31/2018,,0.34,56.38,42.42,98.79,,29.4,88,1009.4,110,6
2/1/2018,,1.11,41.17,31.88,72.83,,28.3,77,1011.42,90,6
2/2/2018,,0.63,45.04,35.92,80.96,,26.5,72,1011.42,100,7
2/3/2018,,1.29,45.88,41.42,86.04,,25.4,66,1011.42,70,10
2/4/2018,,0.4,48.21,22.92,71.13,,,59,1011.42,90,10
2/5/2018,,0.39,43.25,23,66.25,,,60,1011.42,90,10
2/6/2018,,0.46,43.3,29.7,73,,,62,1011.42,90,7
2/7/2018,,0.62,,,,,,61,1011.42,110,6
2/8/2018,,,18.12,12.04,30.2,,,73,1011.42,120,5
2/9/2018,,0.78,19.62,28.23,47.85,,,77,1011.42,120,3
2/10/2018,,0.73,21.79,41.58,63.37,,,73,1011.42,70,7
2/11/2018,,0.94,34.56,50.21,84.78,,,71,1011.42,60,10
2/12/2018,,0.75,18.92,35.97,54.88,,,64,1011.42,80,12
2/13/2018,88,0.9,33.45,49.56,83.01,,,68,1011.42,120,4
2/14/2018,109,1.28,29.53,75.15,104.96,,,66,1011.42,120,6
2/15/2018,117,1.04,19.68,56.56,76.23,,,70,1011.42,120,4
2/16/2018,101,0.87,17.78,37.62,55.4,,,78,1011.42,120,6
2/17/2018,100,0.61,15.82,24.61,40.42,,,78,1011.42,80,8
2/18/2018,86,0.53,14.48,20.09,34.58,,,73,1011.42,70,12
2/19/2018,89,0.65,20,23.67,43.74,,,78,1011.42,110,8
2/20/2018,56,0.46,31.28,22.18,53.46,,,78,1011.42,110,6
2/21/2018,61,0.42,25.87,22.7,48.59,,,78,1011.42,270,4
2/22/2018,73,0.45,22.96,24.91,47.87,,,78,1011.42,150,4
2/23/2018,75,0.57,26.25,30.14,56.39,,,83,1011.42,90,6
